title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,Bucket,log_sales,critic_clean,critic_missing,year,d_action,d_sports,d_misc,d_adventure,d_shooter,d_racing,d_simulation,d_platform,d_fighting,d_strategy,d_puzzle,d_actionadventure,d_visualnovel,d_music,d_other,d_sega,d_nintendohandheld,d_nintendohome,d_pcmac,d_mshome,d_sonyhandheld,year_c,critic_c
Rayman Arena,GC,Racing,Ubisoft,Ubisoft,6.2,0.14,0.11,,0.03,0,Nintendo Home,-1.966113,6.2,0,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,-1.1
Gyakuten Saiban 2,GBA,Adventure,Capcom,Capcom,,0.14,,0.14,,,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Gyakuten Saiban 2,GBA,Action,Capcom,Capcom,,0.14,,0.14,,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Zapper: One Wicked Cricket!,GBA,Platform,Infogrames,Blitz Games,,0.14,0.1,,0.04,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Tomb Raider: The Prophecy,GBA,Adventure,Ubisoft,Ubisoft Milan,,0.14,0.1,,0.04,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
LEGO Island Xtreme Stunts,GBA,Racing,LEGO Media,Silicon Dreams,,0.14,0.1,,0.04,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Baldur's Gate: Dark Alliance,GC,Role-Playing,Interplay,Snowblind Studios,7.7,0.14,0.11,,0.03,0,Nintendo Home,-1.966113,7.7,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0.4
Star Wars: Jedi Power Battles,GBA,Action,THQ,HotGen Studios,,0.14,0.1,,0.04,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Dead to Rights,GC,Shooter,Namco,Namco,,0.14,0.11,,0.03,0,Nintendo Home,-1.966113,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Kamen Rider Ryuki,PS,Action,Bandai,Bandai,,0.14,,0.13,,0.01,Sony Home,-1.966113,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
NCAA College Basketball 2K3,XB,Sports,Sega,Kush Games,,0.14,0.11,,0.03,0.01,Microsoft Home,-1.966113,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Tennis no Oji-Sama: Aim at The Victory!,GBA,Sports,Konami,Konami,,0.14,,0.14,,0,Nintendo Handheld/Hybrid,-1.966113,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
MotoGP 2: Ultimate Racing Technology,PS2,Racing,Namco,Namco,,0.15,0.07,,0.06,0.02,Sony Home,-1.897120,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
All-Star Baseball 2003,GC,Sports,Acclaim Entertainment,Acclaim Entertainment,8.7,0.15,0.12,,0.03,0,Nintendo Home,-1.897120,8.7,0,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,1.4
All-Star Baseball 2003,GBA,Sports,Acclaim Entertainment,Software Creations,7.7,0.15,0.11,,0.04,0,Nintendo Handheld/Hybrid,-1.897120,7.7,0,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0.4
MLB SlugFest 20-03,GC,Sports,Midway Games,Gratuitous Games,,0.15,0.11,,0.03,0,Nintendo Home,-1.897120,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
The Terminator: Dawn of Fate,XB,Action,Atari,Paradigm Entertainment,,0.15,0.11,,0.03,0.01,Microsoft Home,-1.897120,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Knockout Kings 2003,GC,Sports,EA Sports,NEW Corporation,,0.15,0.12,,0.03,0,Nintendo Home,-1.897120,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Top Gun: Combat Zones,GC,Simulation,Titus,Digital Integration,,0.15,0.12,,0.03,0,Nintendo Home,-1.897120,7.3,1,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Serious Sam,XB,Shooter,Gotham Games,Croteam,,0.15,0.11,,0.03,0.01,Microsoft Home,-1.897120,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
BMX XXX,PS2,Sports,Acclaim Entertainment,"Z-Axis, Ltd.",,0.15,0.07,,0.06,0.02,Sony Home,-1.897120,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Rocky,XB,Fighting,Ubisoft,Rage Software,,0.15,0.11,,0.03,0.01,Microsoft Home,-1.897120,7.3,1,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Street Fighter Alpha 3,GBA,Fighting,Capcom,Crawfish Interactive,,0.15,0.11,,0.04,0,Nintendo Handheld/Hybrid,-1.897120,7.3,1,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Shadow Man: 2econd Coming,PS2,Adventure,Acclaim Entertainment,Acclaim Studios Teesside,,0.16,0.08,,0.06,0.02,Sony Home,-1.832581,7.3,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
NASCAR Heat 2002,GBA,Racing,Infogrames,Crawfish Interactive,,0.16,0.12,,0.04,0,Nintendo Handheld/Hybrid,-1.832581,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
PoPoLoCrois: Hajimari no Bouken,PS2,Role-Playing,Sony Computer Entertainment,SCEA,,0.16,,0.16,,,Sony Home,-1.832581,7.3,1,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Mat Hoffman's Pro BMX 2,GBA,Sports,Activision,HotGen Studios,,0.16,0.11,,0.04,0,Nintendo Handheld/Hybrid,-1.832581,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Taz Wanted,PS2,Platform,Atari,Blitz Games,5.5,0.16,0.08,,0.06,0.02,Sony Home,-1.832581,5.5,0,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-1.8
NBA 2K3,GC,Sports,Sega,Visual Concepts,,0.16,0.12,,0.03,0,Nintendo Home,-1.832581,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Robotech: Battlecry,GC,Shooter,TDK Mediactive,Vicious Cycle,7.2,0.16,0.13,,0.03,0,Nintendo Home,-1.832581,7.2,0,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,-0.1
Silent Scope 3,PS2,Shooter,Konami,Konami Computer Entertainment Tokyo,,0.16,0.08,,0.06,0.02,Sony Home,-1.832581,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
He-Man: Power of Grayskull,GBA,Action,TDK Mediactive,Taniko,,0.16,0.11,,0.04,0,Nintendo Handheld/Hybrid,-1.832581,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Hot Wheels Velocity X,GBA,Racing,THQ,Saffire Corporation,5.2,0.16,0.12,,0.04,0,Nintendo Handheld/Hybrid,-1.832581,5.2,0,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,-2.1
Zapper: One Wicked Cricket!,PS2,Platform,Infogrames,Blitz Games,5.7,0.16,0.08,,0.06,0.02,Sony Home,-1.832581,5.7,0,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,-1.6
Dr. Muto,PS2,Platform,Midway Games,Midway,,0.16,0.08,,0.06,0.02,Sony Home,-1.832581,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Gunvalkyrie,XB,Shooter,Sega,Smilebit,6.1,0.17,0.13,,0.04,0.01,Microsoft Home,-1.771957,6.1,0,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,-1.2
Smash Court Tennis Pro Tournament,PS2,Sports,Namco,Namco,,0.17,0.08,,0.07,0.02,Sony Home,-1.771957,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Wolfenstein 3D,GBA,Shooter,BAM! Entertainment,Stalker Entertainment,,0.17,0.12,,0.04,0,Nintendo Handheld/Hybrid,-1.771957,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Gauntlet: Dark Legacy,XB,Action,Midway Games,Midway Games West,,0.17,0.13,,0.04,0.01,Microsoft Home,-1.771957,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Lost Kingdoms,GC,Role-Playing,Activision,From Software,7.3,0.17,0.1,0.04,0.02,0,Nintendo Home,-1.771957,7.3,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Matchbox Cross Town Heroes,GBA,Racing,THQ,Magellan Interactive,,0.17,0.12,,0.04,0,Nintendo Handheld/Hybrid,-1.771957,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
SEGA Bass Fishing Duel,PS2,Sports,Sega,Wow Entertainment,,0.17,0.09,,0.07,0.02,Sony Home,-1.771957,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Disney Golf,PS2,Sports,Electronic Arts,Tikipod,,0.17,0.07,0.02,0.06,0.02,Sony Home,-1.771957,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Shrek Extra Large,GC,Platform,TDK Mediactive,Digital Illusions,3,0.17,0.13,,0.03,0,Nintendo Home,-1.771957,3,0,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,-4.3
Cubivore: Survival of the Fittest,GC,Adventure,Atlus,Saru Brunei / Intelligent Systems,7.1,0.17,0.01,0.15,0,0,Nintendo Home,-1.771957,7.1,0,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,-0.2
James Cameron's Dark Angel,PS2,Action,Sierra Entertainment,Radical Entertainment,,0.17,0.08,,0.07,0.02,Sony Home,-1.771957,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Rugrats: Royal Ransom,GC,Platform,THQ,Avalanche Software,,0.17,0.13,,0.03,0,Nintendo Home,-1.771957,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
NFL 2K2,XB,Sports,Sega,Visual Concepts,,0.18,0.13,,0.04,0.01,Microsoft Home,-1.714798,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Gauntlet: Dark Legacy,GC,Action,Midway Games,Midway Games West,,0.18,0.14,,0.04,0,Nintendo Home,-1.714798,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
Bloody Roar: Primal Fury,GC,Fighting,Activision,Eighting / Raizing,7.9,0.18,0.14,,0.04,0,Nintendo Home,-1.714798,7.9,0,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,-8,0.6
Atari Anniversary Advance,GBA,Misc,Atari,Digital Eclipse,7.7,0.18,0.13,,0.05,0,Nintendo Handheld/Hybrid,-1.714798,7.7,0,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0.4
Fireblade,PS2,Simulation,Midway Games,Kuju Entertainment,,0.18,0.09,,0.07,0.02,Sony Home,-1.714798,7.3,1,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Commandos 2: Men of Courage,PS2,Strategy,Eidos Interactive,Pyro Studios,,0.18,0.09,,0.07,0.02,Sony Home,-1.714798,7.3,1,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8,0
Ty the Tasmanian Tiger,XB,Platform,Electronic Arts,Krome Studios,7,0.18,0.14,,0.04,0.01,Microsoft Home,-1.714798,7,0,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,-0.3
Virtua Tennis,GBA,Sports,THQ,Altron,,0.18,0.13,,0.05,0,Nintendo Handheld/Hybrid,-1.714798,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
NBA Starting Five,PS2,Sports,Konami,Konami,,0.18,0.09,,0.07,0.02,Sony Home,-1.714798,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Monopoly Party,XB,Misc,Infogrames,Runecraft,,0.18,0.14,,0.04,0.01,Microsoft Home,-1.714798,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Blood Omen 2,XB,Action,Eidos Interactive,Crystal Dynamics,,0.19,0.14,,0.04,0.01,Microsoft Home,-1.660731,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
The Scorpion King: Sword of Osiris,GBA,Action,Vivendi Games,WayForward,,0.19,0.13,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Breath of Fire II,GBA,Role-Playing,Capcom,Capcom,8.6,0.19,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,8.6,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,1.3
2002 FIFA World Cup,XB,Sports,EA Sports,EA Canada,,0.19,0.14,,0.04,0.01,Microsoft Home,-1.660731,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Dinotopia: The Timestone Pirates,GBA,Action,TDK Core,TDK Mediactive,6.1,0.19,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,6.1,0,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,-1.2
Transworld Surf,PS2,Sports,Atari,Angel Studios,,0.19,0.09,,0.07,0.02,Sony Home,-1.660731,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Disney's Magical Mirror Starring Mickey Mouse,GC,Adventure,Nintendo,Capcom,4,0.19,0.15,,0.04,0.01,Nintendo Home,-1.660731,4,0,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,-3.3
Sega GT 2002,XB,Racing,Sega,Wow Entertainment,,0.19,0.12,0.03,0.03,0.01,Microsoft Home,-1.660731,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Gungrave,PS2,Shooter,Sega,"Ikusabune Inc. / Positron Co., Ltd",,0.19,0.09,,0.07,0.02,Sony Home,-1.660731,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
SSX Tricky,GBA,Sports,EA Sports BIG,Visual Impact,,0.19,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Frogger's Adventures 2: The Lost Wand,GBA,Adventure,Konami,Konami,8,0.19,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,8,0,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0.7
NCAA Final Four 2003,PS2,Sports,Sony Computer Entertainment,989 Sports,,0.19,0.09,,0.07,0.02,Sony Home,-1.660731,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Lunar Legend,GBA,Role-Playing,Ubisoft,Magic Rings,7.7,0.19,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.660731,7.7,0,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0.4
UFC: Tapout,XB,Fighting,Crave Entertainment,DreamFactory,,0.2,0.14,,0.05,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
NBA 2K2,XB,Sports,Sega,Visual Concepts,,0.2,0.15,,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Spy Hunter,GC,Racing,Midway Games,Point of View,7.9,0.2,0.16,,0.04,0.01,Nintendo Home,-1.609438,7.9,0,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0.6
Mary-Kate and Ashley: Girls Night Out,GBA,Misc,Acclaim Entertainment,Powerhead Games,,0.2,0.15,,0.05,0,Nintendo Handheld/Hybrid,-1.609438,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Looney Tunes: Space Race,PS2,Racing,Infogrames,Infogrames Melbourne,,0.2,0.1,,0.08,0.03,Sony Home,-1.609438,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Shaman King: Spirit of Shamans,PS,Action,Bandai,Bandai,,0.2,,0.18,,0.01,Sony Home,-1.609438,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Jissen Pachi-Slot Hisshouhou! Aladdin A,PS2,Misc,Sammy Corporation,Sammy Studios,,0.2,,0.2,,,Sony Home,-1.609438,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Crazy Taxi 3: High Roller,XB,Racing,Sega,Hitmaker,,0.2,0.14,0.02,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Mat Hoffman's Pro BMX 2,XB,Sports,Activision,Rainbow Studios,,0.2,0.15,,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
MLB SlugFest 20-03,XB,Sports,Midway Games,Gratuitous Games,,0.2,0.15,,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
The Thing,XB,Adventure,VU Games,Computer Artworks,,0.2,0.15,,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Dexter's Lab Chess Challenge,GBA,Misc,BAM! Entertainment,Virtucraft,,0.2,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.609438,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Baldur's Gate: Dark Alliance,XB,Role-Playing,Interplay,Snowblind Studios,,0.2,0.15,,0.04,0.01,Microsoft Home,-1.609438,7.3,1,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
The Fairly Odd Parents: Enter the Cleft,GBA,Platform,THQ,Altron,,0.2,0.14,,0.05,0,Nintendo Handheld/Hybrid,-1.609438,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
SpongeBob SquarePants: Revenge of the Flying Dutchman,GC,Platform,THQ,Big Sky Software,,0.2,0.15,,0.04,0.01,Nintendo Home,-1.609438,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,0
JSRF: Jet Set Radio Future,XB,Action,Sega,Smilebit,,0.21,0.13,0.03,0.04,0.01,Microsoft Home,-1.560648,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Deus Ex: The Conspiracy,PS2,Action,Eidos Interactive,Ion Storm,8,0.21,0.1,,0.08,0.03,Sony Home,-1.560648,8,0,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0.7
NCAA Football 2003,GC,Sports,EA Sports,EA Tiburon,9.2,0.21,0.16,,0.04,0.01,Nintendo Home,-1.560648,9.2,0,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,1.9
Power Rangers: Wild Force,GBA,Action,THQ,Natsume,,0.21,0.15,,0.05,0,Nintendo Handheld/Hybrid,-1.560648,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
Summoner 2,PS2,Role-Playing,THQ,Volition Inc.,,0.21,0.1,,0.08,0.03,Sony Home,-1.560648,7.3,1,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Robotech: Battlecry,XB,Shooter,TDK Mediactive,Vicious Cycle,,0.21,0.16,,0.05,0.01,Microsoft Home,-1.560648,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
NHL 2003,XB,Sports,EA Sports,EA Canada,,0.21,0.15,,0.04,0.01,Microsoft Home,-1.560648,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
BloodRayne,XB,Shooter,Majesco,Terminal Reality,7.3,0.21,0.16,,0.05,0.01,Microsoft Home,-1.560648,7.3,0,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Conflict Zone,PS2,Strategy,Ubisoft,MASA Group,,0.21,0.1,,0.08,0.03,Sony Home,-1.560648,7.3,1,2002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-8,0
Robotech: The Macross Saga,GBA,Shooter,TDK Mediactive,Lucky Chicken,,0.21,0.15,,0.06,0,Nintendo Handheld/Hybrid,-1.560648,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,0
NHL 2K3,PS2,Sports,Sega,Treyarch,,0.21,0.1,,0.08,0.03,Sony Home,-1.560648,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
The Land Before Time: Big Water Adventure,PS,Platform,TDK Mediactive,Digital Illusions,,0.21,0.12,,0.08,0.01,Sony Home,-1.560648,7.3,1,2002,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Herdy Gerdy,PS2,Adventure,Eidos Interactive,Core Design Ltd.,,0.22,0.11,,0.08,0.03,Sony Home,-1.514128,7.3,1,2002,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Britney's Dance Beat,GBA,Misc,THQ,Art,6.3,0.22,0.15,,0.06,0,Nintendo Handheld/Hybrid,-1.514128,6.3,0,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,-1
Lethal Skies Elite Pilot: Team SW,PS2,Simulation,Sammy Corporation,"Asmik Ace Entertainment, Inc.",,0.22,0.11,,0.08,0.03,Sony Home,-1.514128,7.3,1,2002,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Legion: The Legend of Excalibur,PS2,Action,Midway Games,7 Studios,,0.22,0.11,,0.09,0.03,Sony Home,-1.514128,7.3,1,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Tetris Worlds,GC,Puzzle,THQ,Radical Entertainment,4.6,0.22,0.17,,0.04,0.01,Nintendo Home,-1.514128,4.6,0,2002,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,-8,-2.7
Disney's Magical Quest Starring Mickey and Minnie,GBA,Action,Nintendo,Capcom,6.1,0.22,0.16,,0.06,0,Nintendo Handheld/Hybrid,-1.514128,6.1,0,2002,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-8,-1.2
NFL 2K3,GC,Sports,Sega,Visual Concepts,9,0.22,0.17,,0.04,0.01,Nintendo Home,-1.514128,9,0,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-8,1.7
Dino Stalker,PS2,Shooter,Capcom,Capcom,,0.22,0.07,0.08,0.06,0.02,Sony Home,-1.514128,7.3,1,2002,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Nickelodeon Party Blast,XB,Misc,Infogrames,Data Design Interactive,,0.22,0.16,,0.05,0.01,Microsoft Home,-1.514128,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-8,0
Wreckless: ThE YaKuza MisSiOns,PS2,Racing,Activision,Stealth Studios,,0.22,0.11,,0.08,0.03,Sony Home,-1.514128,7.3,1,2002,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Mary-Kate and Ashley: Sweet 16 - Licenced to Drive,PS2,Misc,Acclaim Entertainment,n-Space,,0.22,0.11,,0.08,0.03,Sony Home,-1.514128,7.3,1,2002,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Whirl Tour,PS2,Sports,VU Games,Papaya Studios,,0.22,0.11,,0.09,0.03,Sony Home,-1.514128,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
Airblade,PS2,Sports,Namco,Criterion Games,,0.23,0.11,,0.09,0.03,Sony Home,-1.469676,7.3,1,2002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8,0
