variable,coef,std_err,t,p,pct_effect
const,0.12691180061922483,0.005568671878613018,22.790317581224517,5.719919393903775e-115,13.531687911974544
critic_c,0.012715640748630307,0.0025737602725821353,4.940491499572837,7.792589020641442e-07,1.2796828260585036
critic_missing,-0.01779226790884811,0.003742112828306235,-4.7546048783626045,1.9883490227049244e-06,-1.7634920083720362
year_c,-0.004386187369941517,0.0003521984132819927,-12.453739723210091,1.3344277277850458e-35,-0.43765820987573534
d_action,-0.02069278390147021,0.0050296816659801315,-4.114133910587722,3.8863579162806245e-05,-2.048015738571596
d_sports,-0.0013577608954205515,0.006846145983917602,-0.19832485293332786,0.8427909080393092,-0.1356839555129774
d_misc,-0.027803008564313166,0.005886621935506595,-4.723083776896312,2.322951006754869e-06,-2.742006215002335
d_adventure,-0.05661962386928919,0.004404107065777839,-12.856096144721954,7.949098793573911e-38,-5.504656125284435
d_shooter,-0.03713303717540821,0.005995157129898481,-6.193838855402444,5.871625820920273e-10,-3.645206087438091
d_racing,-0.06794980909126752,0.0060818537278320975,-11.172549050351547,5.556307084838132e-29,-6.569263386384461
d_simulation,-0.03424450623555214,0.007262890533516435,-4.714996884163716,2.4171444816688426e-06,-3.366479923242216
d_platform,-0.033638036090197845,0.009118255449115851,-3.6890868300316755,0.00022506040454112013,-3.307856803486009
d_fighting,-0.028157605755322234,0.0060642045946412565,-4.643247983454287,3.4297427964712643e-06,-2.7764875125547372
d_strategy,-0.0093470351045024,0.00837661908171846,-1.1158481737461146,0.26448712907461813,-0.9303487358269469
d_puzzle,-0.034021950889724234,0.008563905267768342,-3.9727145298735858,7.105818977226174e-05,-3.344971223413673
d_actionadventure,-0.031467507624509616,0.006904683022540094,-4.557415238583009,5.178697854291059e-06,-3.097755821674264
d_visualnovel,-0.04897591731650213,0.004395934670633928,-11.141184068015146,7.906114396722562e-29,-4.77959389485928
d_music,0.024439918783718036,0.016573934995686573,1.4745996524107652,0.1403202084202728,2.474102157068092
d_other,0.029001957651887574,0.02350204269450779,1.2340185927185412,0.21719597611812091,2.942660973210387
d_sega,-0.0040561564098975786,0.01656033922952283,-0.24493196387345093,0.806509111750946,-0.40479413184720814
d_nintendohandheld,0.0023061866797755423,0.0037784138528335408,0.6103584121803033,0.5416244107718886,0.23088479736967926
d_nintendohome,-0.02415223603248558,0.005305977150646527,-4.55189220510357,5.3165575252355565e-06,-2.3862904792584794
d_mshome,-0.07133108183472997,0.003404646192628418,-20.95109970286273,1.833481854511251e-97,-6.884644693908603
d_sonyhandheld,-0.017832401546628324,0.002975924990689684,-5.992221444565236,2.0699379668972867e-09,-1.767434517686417
