variable,coef,std_err,t,p,pct_effect
const,0.09876958677948304,0.003476687483970993,28.40910701202015,1.56071571869917e-177,10.381193739246463
critic_c,0.025851942934628808,0.0016255077823734514,15.903918280158358,5.952253279975866e-57,2.6189002693141505
critic_missing,-0.053707155330043076,0.0024106930640336427,-22.278719813537222,5.943237171671356e-110,-5.229040242675909
year_c,0.0017899824281506383,0.00017211552208297193,10.399889600240352,2.4822061258474513e-25,0.17915854029868505
d_action,0.026643304893333417,0.003269903538677247,8.14804001958763,3.6986996177544673e-16,2.700141104444831
d_sports,0.033310632898041585,0.0034699819406928153,9.599655983048372,8.021169245052314e-22,3.3871643910837523
d_misc,0.032532444820867354,0.0033121578321524117,9.82213000390929,9.041266072722864e-23,3.3067410287311416
d_adventure,0.020174082301583483,0.0030150543218378702,6.6911173558180135,2.2147295683161506e-11,2.0378954483424305
d_shooter,0.04667305348598745,0.00469720135923217,9.93635356812059,2.892208930517625e-23,4.777938525541181
d_racing,0.0212175155257281,0.00326493854102702,6.498595688436424,8.107322170513796e-11,2.1444207449268893
d_simulation,0.02762940447276075,0.003235631339237121,8.539107696760984,1.3526226507707214e-17,2.8014636192292164
d_platform,0.020576611164015386,0.0034565605151800427,5.952915065033545,2.6340801626608597e-09,2.078976914005315
d_fighting,0.017113833706189935,0.0038335963069443973,4.4641721078426935,8.037893656124215e-06,1.7261114337406624
d_strategy,0.004852455773411404,0.003026204169000148,1.6034793101929556,0.10882887340846939,0.48642480029699176
d_puzzle,0.014878012604842266,0.0028945340656719686,5.140037141483192,2.7468416686856383e-07,1.49892411697794
d_actionadventure,0.02977754030146236,0.007507123208594828,3.966571411452307,7.291393614817315e-05,3.0225324844376678
d_music,0.016454436653306044,0.0070743801596919445,2.3259192016650907,0.020022861470838586,1.6590556462839245
d_other,0.00907438193967503,0.007403063502005415,1.225760381120177,0.22028886039840245,0.9115678963941276
d_nintendohandheld,-0.05994786740940758,0.00211407167779509,-28.356591708343263,6.9415434327805575e-177,-5.818636851109815
d_nintendohome,-0.05870536656163572,0.00232773186094211,-25.219986694634027,2.4182746901324372e-140,-5.7015436984463985
d_pcmac,-0.07250601745455511,0.0027466912184741375,-26.39758592698097,1.4604636778951993e-153,-6.9939849951246575
d_mshome,-0.04802488663967763,0.002631729676753548,-18.24841170576464,2.1301275195174008e-74,-4.6889932924462085
d_sonyhandheld,-0.03568878765466108,0.0037549017988718013,-9.504586155990589,2.0084501233930332e-21,-3.5059451829674293
