variable,coef,std_err,t,p,pct_effect
const,0.22231841513315742,0.00795453461725375,27.94863883688916,6.848253084229291e-172,24.896900518774157
critic_c,0.05791629399901178,0.0033259555950442142,17.413429717855827,6.52548235122811e-68,5.962629491825555
critic_missing,-0.116495056224795,0.005260636528222098,-22.144669299965123,1.1741961301631275e-108,-10.996550290372076
year_c,0.005547012012503857,0.00048399748414750915,11.460828194745904,2.07520829055946e-30,0.5562425169447716
d_action,0.06248938180439636,0.00790846700924375,7.901579627424143,2.7539083283494763e-15,6.448315596748433
d_sports,0.07112519003058633,0.008784942602163932,8.096261210980089,5.667406196789904e-16,7.371563594808617
d_misc,0.06742474315306365,0.008177551961045871,8.245101159154279,1.6502055338925565e-16,6.974975057527311
d_adventure,0.044731649343058545,0.007941617831481491,5.632561310837335,1.7755269258262833e-08,4.574719530528104
d_shooter,0.10961844127383068,0.010396664131564945,10.543616672296068,5.436701966806563e-26,11.585222606774437
d_racing,0.062430006012045736,0.008170948514893544,7.640484565317214,2.1640573872797596e-14,6.441995331302719
d_simulation,0.07535407603663703,0.010297543995038346,7.317674590460094,2.5230477020382806e-13,7.826587140778751
d_platform,0.05641304178896852,0.008559940075658249,6.590354756032615,4.387768640253819e-11,5.803460600327637
d_fighting,0.03244946472807977,0.009013322180690205,3.6001669614782275,0.00031801291360901006,3.298168981434557
d_strategy,0.010607330109919209,0.008376711420939504,1.2662881143790825,0.2054099506572642,1.0663787279316272
d_puzzle,0.027306082431441423,0.008604047380252196,3.173632271495121,0.0015054428932151861,2.7682310128678056
d_actionadventure,0.08791933960749647,0.017322988981886243,5.075298477614296,3.8688820249230993e-07,9.19000453898613
d_music,0.0542443387540471,0.02308261176152301,2.3500087128124885,0.01877297163093312,5.5742529457221135
d_other,0.04678883689359144,0.0234889149538298,1.9919539487268931,0.046376110863128005,4.790070774648392
d_nintendohandheld,-0.10216193680579681,0.004974944117678012,-20.535293339833437,1.0418349360093932e-93,-9.711667021258885
d_nintendohome,-0.10190767876671078,0.005449899312128422,-18.699002115492554,5.043982096799466e-78,-9.688707568074273
d_pcmac,-0.1214543165837861,0.007254663836294343,-16.74154989458816,6.526643723517673e-63,-11.436848890233009
d_mshome,-0.07031173417326558,0.005972164892425402,-11.773240598638385,5.362426103971977e-32,-6.789679381119118
d_sonyhandheld,-0.10136159480525586,0.007673153890562856,-13.209899899169178,7.692666028543185e-40,-9.639376551526379
